名称（研发填写，产品重点校对，中文）,英文名称,平台界面是否显示,参数设置项,描述(备注/解释语，中文),英文描述(备注/解释语), 分组KEY,中文分组名称,英文分组名称,硬件版本,固件版本,型号,表格备注（非字段）,特殊解析 (变长协议等),下发是否响应,IPSO响应通道,IPSO通道,IPSO类型,IPSO起始字节,IPSO结束字节,IPSO起始bit,IPSO结束bit,"IPSO数据
类型",IPSO解析辅助字段类型,IPSO解析映射,IPSO固定值,异常值,"元素类型
（数组内元素类型）",枚举（产品校对文案）,英文枚举,默认值,自定义默认值,"最小值
(number)","最大值
(number)",设备限制范围,"精度
(有效小数位)",系数,单位名称（英文缩写）,"大小端
（string默认大端，其余默认小端）",输入长度限制（string）,字符编码（string）,类型,"读写
类型",事件类型,服务类型,IPSO标识,物模型版本,物模型属性标识,物模型数据类型,"长度下限
(string)","长度上限
(string)","数组长度
(最大)",关联项(物模型属性标识),输入参数（服务）,输出参数（事件&服务）,"必填
(入参)",云生态备注,忽略该行,平台自定义
温度校准,Temperature Calibration,是,,,,calibration_settings,校准设置,Calibration Settings,,,,,,,,0x79,,0,1,,,uint8,,,,,,"0：禁用
1：启用","0：disable
1：enable",0,,,,"[0,1]",,,,,,,属性,读写,,,,,temperature_calibration_settings.enable,bool,,,,,,,,,,TRUE
校准值,Calibration Value,是,,,,calibration_settings,校准设置,Calibration Settings,,,,,,,,0x79,,1,3,,,int16,,,,,,,,0,,-80,80,"[-8000,8000]",2,0.01,℃,,,,属性,读写,,,,,temperature_calibration_settings.calibration_value,float,,,,,,,,,,TRUE
温度校准配置,Temperature Calibration Configuration,否,,,,temperature_calibration_cfg,温度校准配置,Temperature Calibration Configuration,,>=1.5,,,,,,0x9c,,0,0,,,struct,,,,,,,,,,,,,,,,,,,属性,读写,,,,v1.1,temperature_calibration_cfg,struct,,,,,,,,,,TRUE
子命令,Sub-command,否,,,,temperature_calibration_cfg,温度校准配置,Temperature Calibration Configuration,,>=1.5,,,,,,0x9c,,0,1,,,uint8,type,temperature_calibration_cfg,,,,,,0,,,,,,,,,,,属性,读写,,,,v1.1,temperature_calibration_cfg.cmd,enum,,,,,,,,,,TRUE
温度校准使能,Temperature Calibration Enable,否,,,,temperature_calibration_cfg,温度校准配置,Temperature Calibration Configuration,,>=1.5,,,,,,0x9c,,0,1,,,uint8,impl,temperature_calibration_cfg：0x00,,,,"0：禁用
1：启用","0：disable
1：enable",0,,,,"[0,1]",,,,,,,属性,读写,,,,v1.1,temperature_calibration_cfg.enable,bool,,,,,,,,,,TRUE
温度校准校准值,Temperature Calibration Value,否,,,,temperature_calibration_cfg,温度校准配置,Temperature Calibration Configuration,,>=1.5,,,,,,0x9c,,0,2,,,int16,impl,temperature_calibration_cfg：0x01,,,,,,0,,-80,80,"[-8000,8000]",2,0.01,℃,,,,属性,读写,,,,v1.1,temperature_calibration_cfg.calibration_value,float,,,,,,,,,,TRUE
湿度校准设置,Humidity Calibration Settings,是,,,,calibration_settings,校准设置,Calibration Settings,,,,,,,,0x7a,,0,3,,,struct,,,,,,,,,,,,,,,,,,,属性,读写,,,,,humidity_calibration_settings,struct,,,,,,,,,,TRUE
湿度校准,Humidity Calibration,是,,,,calibration_settings,校准设置,Calibration Settings,,,,,,,,0x7a,,0,1,,,uint8,,,,,,"0：禁用
1：启用","0：disable
1：enable",0,,,,"[0,1]",,,,,,,属性,读写,,,,,humidity_calibration_settings.enable,bool,,,,,,,,,,TRUE
校准值,Calibration Value,是,,,,calibration_settings,校准设置,Calibration Settings,,,,,,,,0x7a,,1,3,,,int16,,,,,,,,0,,-100,100,"[-1000,1000]",1,0.1,%,,,,属性,读写,,,,,humidity_calibration_settings.calibration_value,float,,,,,,,,,,TRUE
湿度校准配置,Humidity Calibration Configuration,否,,,,humidity_calibration_cfg,湿度校准配置,Humidity Calibration Configuration,,>=1.5,,,,,,0x9d,,0,0,,,struct,,,,,,,,,,,,,,,,,,,属性,读写,,,,v1.1,humidity_calibration_cfg,struct,,,,,,,,,,TRUE
子命令,Sub-command,否,,,,humidity_calibration_cfg,湿度校准配置,Humidity Calibration Configuration,,>=1.5,,,,,,0x9d,,0,1,,,uint8,type,humidity_calibration_cfg,,,,,,0,,,,,,,,,,,属性,读写,,,,v1.1,humidity_calibration_cfg.cmd,enum,,,,,,,,,,TRUE
湿度校准使能,Humidity Calibration Enable,否,,,,humidity_calibration_cfg,湿度校准配置,Humidity Calibration Configuration,,>=1.5,,,,,,0x9d,,0,1,,,uint8,impl,humidity_calibration_cfg：0x00,,,,"0：禁用
1：启用","0：disable
1：enable",0,,,,"[0,1]",,,,,,,属性,读写,,,,v1.1,humidity_calibration_cfg.enable,bool,,,,,,,,,,TRUE
湿度校准校准值,Humidity Calibration Value,否,,,,humidity_calibration_cfg,湿度校准配置,Humidity Calibration Configuration,,>=1.5,,,,,,0x9d,,0,2,,,int16,impl,humidity_calibration_cfg：0x01,,,,,,0,,-100,100,"[-1000,1000]",1,0.1,%,,,,属性,读写,,,,v1.1,humidity_calibration_cfg.calibration_value,float,,,,,,,,,,TRUE
温度阈值告警设置,Temperature Threshold Alarm Settings,是,,,,threshold_alarm_settings,阈值告警设置,Threshold Alarm Settings,,,,,,,,0x76,,0,6,,,struct,,,,,,,,,,,,,,,,,,,属性,读写,,,,,temperature_alarm_settings,struct,,,,,,,,,,TRUE
温度阈值告警,Temperature Threshold Alarm,是,,,,threshold_alarm_settings.temperature_threshold_settings,温度阈值告警,Temperature Threshold Alarm,,,,,,,,0x76,,0,1,,,uint8,,,,,,"0：禁用
1：启用","0：disable
1：enable",0,,,,"[0,1]",,,,,,,属性,读写,,,,,temperature_alarm_settings.enable,bool,,,,,,,,,,TRUE
阈值模式,Threshold Mode,是,,,,threshold_alarm_settings.temperature_threshold_settings,温度阈值告警,Temperature Threshold Alarm,,,,,,,,0x76,,1,2,,,uint8,,,,,,"0:禁用
1:条件：x<A
2:条件：x>B
3:条件：A≤x≤B
4:条件：x<A或x>B","0:disable
1:condition: x<A
2:condition: x>B
3:condition: A≤x≤B
4:condition: x<A or x>B",0,,,,"[0,4]",,,,,,,属性,读写,,,,,temperature_alarm_settings.threshold_condition,enum,,,,,,,,,,TRUE
值A,Value A,是,,,,threshold_alarm_settings.temperature_threshold_settings,温度阈值告警,Temperature Threshold Alarm,,,,,,,,0x76,,2,4,,,int16,,,,,,,,0,,-20,60,"[-2000,6000]",2,0.01,℃,,,,属性,读写,,,,,temperature_alarm_settings.threshold_min,float,,,,,,,,,,TRUE
